context,target,condition,subject1,object1,object2,stim_classname,subject2
"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,incongruent,Charlie,an apple,a pineapple,value_financial,
"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,incongruent,Charlie,an apple,a pineapple,value_financial,
"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,congruent,Charlie,an apple,a dax,value_financial,
"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,congruent,Charlie,an apple,a dax,value_financial,
"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,incongruent,Charlie,an apple,a dax,value_financial,
"At the store Charlie wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,incongruent,Charlie,an apple,a dax,value_financial,
"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,congruent,Charlie,an apple,a blicket,value_financial,
"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,congruent,Charlie,an apple,a blicket,value_financial,
"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,incongruent,Charlie,an apple,a blicket,value_financial,
"At the store Charlie wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,incongruent,Charlie,an apple,a blicket,value_financial,
"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,congruent,Charlie,an orange,a pineapple,value_financial,
"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,congruent,Charlie,an orange,a pineapple,value_financial,
"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,incongruent,Charlie,an orange,a pineapple,value_financial,
"At the store Charlie wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,incongruent,Charlie,an orange,a pineapple,value_financial,
"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,congruent,Charlie,an orange,a dax,value_financial,
"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,congruent,Charlie,an orange,a dax,value_financial,
"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,incongruent,Charlie,an orange,a dax,value_financial,
"At the store Charlie wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,incongruent,Charlie,an orange,a dax,value_financial,
"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,congruent,Charlie,an orange,a blicket,value_financial,
"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,congruent,Charlie,an orange,a blicket,value_financial,
"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,incongruent,Charlie,an orange,a blicket,value_financial,
"At the store Charlie wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,incongruent,Charlie,an orange,a blicket,value_financial,
"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,congruent,Charlie,a pineapple,a dax,value_financial,
"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,congruent,Charlie,a pineapple,a dax,value_financial,
"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,incongruent,Charlie,a pineapple,a dax,value_financial,
"At the store Charlie wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,incongruent,Charlie,a pineapple,a dax,value_financial,
"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,congruent,Charlie,a pineapple,a blicket,value_financial,
"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,congruent,Charlie,a pineapple,a blicket,value_financial,
"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,incongruent,Charlie,a pineapple,a blicket,value_financial,
"At the store Charlie wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,incongruent,Charlie,a pineapple,a blicket,value_financial,
"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,congruent,Charlie,a dax,a blicket,value_financial,
"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,congruent,Charlie,a dax,a blicket,value_financial,
"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,incongruent,Charlie,a dax,a blicket,value_financial,
"At the store Charlie wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,incongruent,Charlie,a dax,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,congruent,Barack Obama,an apple,an orange,value_financial,
"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,congruent,Barack Obama,an apple,an orange,value_financial,
"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,incongruent,Barack Obama,an apple,an orange,value_financial,
"At the store Barack Obama wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,incongruent,Barack Obama,an apple,an orange,value_financial,
"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,congruent,Barack Obama,an apple,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,congruent,Barack Obama,an apple,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,incongruent,Barack Obama,an apple,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,incongruent,Barack Obama,an apple,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,congruent,Barack Obama,an apple,a dax,value_financial,
"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,congruent,Barack Obama,an apple,a dax,value_financial,
"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,incongruent,Barack Obama,an apple,a dax,value_financial,
"At the store Barack Obama wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,incongruent,Barack Obama,an apple,a dax,value_financial,
"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,congruent,Barack Obama,an apple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,congruent,Barack Obama,an apple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,incongruent,Barack Obama,an apple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,incongruent,Barack Obama,an apple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,congruent,Barack Obama,an orange,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,congruent,Barack Obama,an orange,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,incongruent,Barack Obama,an orange,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,incongruent,Barack Obama,an orange,a pineapple,value_financial,
"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,congruent,Barack Obama,an orange,a dax,value_financial,
"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,congruent,Barack Obama,an orange,a dax,value_financial,
"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,incongruent,Barack Obama,an orange,a dax,value_financial,
"At the store Barack Obama wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,incongruent,Barack Obama,an orange,a dax,value_financial,
"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,congruent,Barack Obama,an orange,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,congruent,Barack Obama,an orange,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,incongruent,Barack Obama,an orange,a blicket,value_financial,
"At the store Barack Obama wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,incongruent,Barack Obama,an orange,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,congruent,Barack Obama,a pineapple,a dax,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,congruent,Barack Obama,a pineapple,a dax,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,incongruent,Barack Obama,a pineapple,a dax,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,incongruent,Barack Obama,a pineapple,a dax,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,congruent,Barack Obama,a pineapple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,congruent,Barack Obama,a pineapple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,incongruent,Barack Obama,a pineapple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,incongruent,Barack Obama,a pineapple,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,congruent,Barack Obama,a dax,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,congruent,Barack Obama,a dax,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,incongruent,Barack Obama,a dax,a blicket,value_financial,
"At the store Barack Obama wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,incongruent,Barack Obama,a dax,a blicket,value_financial,
"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,congruent,Donald Trump,an apple,an orange,value_financial,
"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,congruent,Donald Trump,an apple,an orange,value_financial,
"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,incongruent,Donald Trump,an apple,an orange,value_financial,
"At the store Donald Trump wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,incongruent,Donald Trump,an apple,an orange,value_financial,
"At the store Donald Trump wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,congruent,Donald Trump,an apple,a pineapple,value_financial,
"At the store Donald Trump wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,congruent,Donald Trump,an apple,a pineapple,value_financial,
"At the store Donald Trump wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,incongruent,Donald Trump,an apple,a pineapple,value_financial,
"At the store Donald Trump wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,incongruent,Donald Trump,an apple,a pineapple,value_financial,
"At the store Donald Trump wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,congruent,Donald Trump,an apple,a dax,value_financial,
"At the store Donald Trump wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,congruent,Donald Trump,an apple,a dax,value_financial,
"At the store Donald Trump wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,incongruent,Donald Trump,an apple,a dax,value_financial,
"At the store Donald Trump wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,incongruent,Donald Trump,an apple,a dax,value_financial,
"At the store Donald Trump wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,congruent,Donald Trump,an apple,a blicket,value_financial,
"At the store Donald Trump wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,congruent,Donald Trump,an apple,a blicket,value_financial,
"At the store Donald Trump wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,incongruent,Donald Trump,an apple,a blicket,value_financial,
"At the store Donald Trump wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,incongruent,Donald Trump,an apple,a blicket,value_financial,
"At the store Donald Trump wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,congruent,Donald Trump,an orange,a pineapple,value_financial,
"At the store Donald Trump wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,congruent,Donald Trump,an orange,a pineapple,value_financial,
"At the store Donald Trump wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,incongruent,Donald Trump,an orange,a pineapple,value_financial,
"At the store Donald Trump wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,incongruent,Donald Trump,an orange,a pineapple,value_financial,
